2018-01-29 01:13:53,480 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMJ.bed.meta.json
2018-01-29 01:13:53,539 INFO  [main$] File status released, start populate table
2018-01-29 01:13:53,643 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:53,644 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:53,645 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:53,645 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:53,650 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:55,280 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMK.bed.meta.json
2018-01-29 01:13:55,286 INFO  [main$] File status released, start populate table
2018-01-29 01:13:55,316 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:55,317 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:55,318 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:55,319 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:55,324 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:55,988 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMH_O.bed.meta.json
2018-01-29 01:13:55,992 INFO  [main$] File status released, start populate table
2018-01-29 01:13:56,014 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:56,015 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:56,016 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:56,016 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:56,021 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:56,623 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMG.bed.meta.json
2018-01-29 01:13:56,627 INFO  [main$] File status released, start populate table
2018-01-29 01:13:56,642 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:56,642 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:56,643 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:56,644 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:56,646 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:57,102 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMI.bed.meta.json
2018-01-29 01:13:57,106 INFO  [main$] File status released, start populate table
2018-01-29 01:13:57,119 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:57,119 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:57,120 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:57,120 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:57,121 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:57,552 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SML.bed.meta.json
2018-01-29 01:13:57,554 INFO  [main$] File status released, start populate table
2018-01-29 01:13:57,563 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:57,563 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:57,564 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:57,564 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:57,565 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:57,986 INFO  [main$] Total time for insert data in DB 0:0:4
2018-01-29 01:13:57,986 INFO  [main$] Total file analized 6
2018-01-29 01:13:57,987 INFO  [main$] Total file released 6
2018-01-29 01:13:57,987 INFO  [main$] Total file archived 0
2018-01-29 01:13:57,987 INFO  [main$] Total file released but not inserted 0
2018-01-29 01:13:57,987 INFO  [main$] Total Item inserted or Updated 6
2018-01-29 01:13:57,987 INFO  [main$] Constrains violated 0
