2018-01-29 01:13:21,529 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMJ.bed.meta.json
2018-01-29 01:13:21,595 INFO  [main$] File status released, start populate table
2018-01-29 01:13:21,697 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:21,698 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:21,699 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:21,700 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:21,705 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:23,349 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMK.bed.meta.json
2018-01-29 01:13:23,354 INFO  [main$] File status released, start populate table
2018-01-29 01:13:23,387 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:23,388 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:23,389 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:23,390 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:23,395 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:24,058 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMH_O.bed.meta.json
2018-01-29 01:13:24,069 INFO  [main$] File status released, start populate table
2018-01-29 01:13:24,088 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:24,088 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:24,089 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:24,089 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:24,091 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:24,685 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMG.bed.meta.json
2018-01-29 01:13:24,693 INFO  [main$] File status released, start populate table
2018-01-29 01:13:24,718 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:24,718 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:24,719 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:24,719 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:24,720 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:25,148 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMI.bed.meta.json
2018-01-29 01:13:25,151 INFO  [main$] File status released, start populate table
2018-01-29 01:13:25,163 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:25,164 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:25,164 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:25,164 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:25,166 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:25,569 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SML.bed.meta.json
2018-01-29 01:13:25,573 INFO  [main$] File status released, start populate table
2018-01-29 01:13:25,593 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 01:13:25,594 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 01:13:25,594 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 01:13:25,594 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 01:13:25,596 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 01:13:25,987 INFO  [main$] Total time for insert data in DB 0:0:4
2018-01-29 01:13:25,987 INFO  [main$] Total file analized 6
2018-01-29 01:13:25,987 INFO  [main$] Total file released 6
2018-01-29 01:13:25,987 INFO  [main$] Total file archived 0
2018-01-29 01:13:25,987 INFO  [main$] Total file released but not inserted 0
2018-01-29 01:13:25,987 INFO  [main$] Total Item inserted or Updated 6
2018-01-29 01:13:25,987 INFO  [main$] Constrains violated 0
